name,scope,sha256_plugin,sha256_vault,identical,classification_sugerida,bytes_plugin,bytes_vault,model_plugin,model_vault,tools_plugin,has_Agent_plugin,has_Bash_plugin,filename_plugin,filename_vault
dr-medico-psiquiatra,VAULT_ONLY,,84dde3269dde19074b76e46bd75c0cf70fab39167ca36b7e348ab3b49b79ce05,,PERSONAL-OVERLAY,,16751,,opus,,,,,dr-medico-psiquiatra.md
dr-medico-trabalho,VAULT_ONLY,,c82ccd60e46c614deeb64861ba70a77da990ce7a56b9b29cdadca604dbd829c1,,PERSONAL-OVERLAY,,18170,,opus,,,,,dr-medico-trabalho.md
economy-designer,VAULT_ONLY,,fc5d968746a13f661441fc3d2a8d01a862ed332a00a5bc9d171d3dded4f7f6ff,,INTENTIONAL-EXCLUSION,,12776,,opus,,,,,economy-designer.md
embedded-firmware-engineer,INTERSECTION,6804251d8ad6f59e329f8a9ae87981d4156b233ea380b5d0134e5870f56a7e99,38a2ad004d0c91ab9a043df404603d80301e9b07641b9bfa7b7820da13044cd7,no,CORE-GENERIC,16615,15066,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,embedded-firmware-engineer.md,embedded-firmware-engineer.md
engine-graphics-programmer,VAULT_ONLY,,0d0ac79cc6182d1e2600d0e1839804fd6e91a5b180c418fa7ccda721cd003279,,INTENTIONAL-EXCLUSION,,13195,,opus,,,,,engine-graphics-programmer.md
engineering-coach,VAULT_ONLY,,1257b7d91def6db905bc05fd5c51963da5ef8ddf57e2eb94ec9d1d4caf10e933,,PERSONAL-OVERLAY,,12672,,opus,,,,,engineering-coach.md
engineering-manager,INTERSECTION,d8460052cb84f66d5d3a1aa3aa4d834f0da5bf5313b8dd07248a52807d1e8d45,79fc5d81b90429168825b0698d21f028afa5f548a29d88a36fdc1041932ff000,no,CORE-GENERIC,9395,8133,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,no,engineering-manager.md,engineering-manager.md
frontend-engineer,INTERSECTION,0eee64511a0651fa26fd470a8e1c47c76ddef95eb8b810369ba0974517dc0f72,6fe6047bb88f14de3b45d13c98e80d3a394c6d81459862ce1f1f6f7ef6aea391,no,CORE-GENERIC,19986,18641,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,frontend-engineer.md,frontend-engineer.md
game-animator,VAULT_ONLY,,2f51b871e1e375616298dbcd72539545984c33639408af823b263143798db300,,INTENTIONAL-EXCLUSION,,12969,,opus,,,,,game-animator.md
game-producer,VAULT_ONLY,,20ba08b3f4dd7ce85a201bdc435bbd8d7567ef5d6625df4ddf3dd326e0a3f537,,INTENTIONAL-EXCLUSION,,13673,,opus,,,,,game-producer.md
